"PA","ID","bp"
1,1,0.644347826086957
1,2,0.838333333333333
1,3,0.417619047619048
1,4,0.732272727272727
1,5,0.28695652173913
1,6,0.346190476190476
1,7,0.597916666666667
1,8,0.871818181818182
1,9,0.652272727272727
1,10,0.337727272727273
1,11,0.314782608695652
1,12,0.468571428571429
1,13,0.660869565217391
1,14,0.779090909090909
1,15,0.902608695652174
1,16,0.781363636363636
1,17,0.606363636363636
1,18,0.677619047619048
1,19,0.864090909090909
1,20,0.579047619047619
1,21,0.299166666666667
1,22,0.798181818181818
1,23,0.636666666666667
1,24,0.716190476190476
1,25,0.886363636363636
1,26,0.699545454545455
1,27,0.732173913043478
1,28,0.638636363636364
1,29,0.514166666666667
1,30,0.677391304347826
1,31,0.582272727272727
1,32,0.7935
1,33,0.642272727272727
1,34,0.597391304347826
1,35,0.695416666666667
1,36,0.722272727272727
1,37,0.737142857142857
1,38,0.735652173913043
1,39,0.701818181818182
1,40,0.678333333333333
1,41,0.46875
1,42,0.582272727272727
1,43,0.719090909090909
1,44,0.384761904761905
1,45,0.790833333333333
1,46,0.680454545454545
1,47,0.579583333333333
1,48,0.71125
1,49,0.554583333333333
1,50,0.854761904761905
1,51,0.628333333333333
1,52,0.536363636363636
1,53,0.558571428571429
1,54,0.664545454545455
1,55,0.779545454545455
1,56,0.599090909090909
1,57,0.757272727272727
1,58,0.665454545454545
1,59,0.456190476190476
1,60,0.748636363636364
1,61,0.736190476190476
1,62,0.782083333333333
1,63,0.596666666666667
1,64,0.581363636363636
1,65,0.742608695652174
1,66,0.684782608695652
1,67,0.604285714285714
1,68,0.605238095238095
1,69,0.476363636363636
1,70,0.729583333333333
1,71,0.665833333333333
1,72,0.631363636363636
1,73,0.565
1,74,0.648181818181818
1,75,0.612916666666667
1,76,0.75375
1,77,0.739090909090909
1,78,0.298636363636364
1,79,0.594166666666667
1,80,0.647272727272727
1,81,0.453913043478261
1,82,0.676666666666667
1,83,0.765652173913043
1,84,0.536086956521739
1,85,0.535714285714286
1,86,0.48
1,87,0.476818181818182
1,88,0.349545454545455
1,89,0.823333333333333
1,90,0.685652173913043
1,91,0.84875
1,92,0.730454545454545
1,93,0.591739130434783
1,94,0.33
1,95,0.678260869565217
1,96,0.570416666666667
1,97,0.679545454545455
1,98,0.735454545454545
1,99,0.722727272727273
1,100,0.692272727272727
1,101,0.4275
1,102,0.545238095238095
1,103,0.562727272727273
1,104,0.697391304347826
1,105,0.770454545454545
1,106,0.567083333333333
1,107,0.523333333333333
1,108,0.556666666666667
1,109,0.672380952380952
1,110,0.852380952380952
1,111,0.65875
1,112,0.619545454545455
1,113,0.578181818181818
1,114,0.543181818181818
1,115,0.77
1,116,0.535652173913044
1,117,0.8505
1,118,0.476086956521739
1,119,0.797083333333333
1,120,0.433181818181818
1,121,0.69
1,122,0.536818181818182
1,123,0.799090909090909
1,124,0.656190476190476
1,125,0.768695652173913
1,126,0.777142857142857
1,127,0.5575
1,128,0.62875
1,129,0.789166666666667
1,130,0.659090909090909
1,131,0.695
1,132,0.544545454545455
1,133,0.814285714285714
1,134,0.893181818181818
1,135,0.730909090909091
1,136,0.627142857142857
1,137,0.7
1,138,0.819166666666667
1,139,0.679565217391304
1,140,0.582916666666667
1,141,0.6325
1,142,0.594166666666667
1,143,0.685217391304348
1,144,0.259130434782609
1,145,0.590909090909091
1,146,0.569090909090909
1,147,0.726818181818182
1,148,0.674545454545455
1,149,0.494090909090909
1,150,0.761904761904762
1,151,0.693181818181818
1,152,0.696521739130435
1,153,0.578260869565217
1,154,0.509090909090909
1,155,0.46695652173913
1,156,0.615909090909091
1,157,0.847391304347826
1,158,0.540909090909091
1,159,0.635714285714286
1,160,0.717391304347826
1,161,0.285454545454545
1,162,0.643333333333333
1,163,0.497083333333333
1,164,0.640454545454545
1,165,0.765833333333333
1,166,0.751304347826087
1,167,0.450833333333333
1,168,0.657391304347826
1,169,0.678636363636364
1,170,0.673181818181818
1,171,0.606818181818182
1,172,0.412727272727273
1,173,0.591363636363636
1,174,0.523181818181818
1,175,0.775
1,176,0.851363636363636
1,177,0.922272727272727
1,178,0.66875
1,179,0.708695652173913
1,180,0.757272727272727
1,181,0.666818181818182
1,182,0.315714285714286
1,183,0.792727272727273
1,184,0.639545454545455
1,185,0.606363636363636
1,186,0.57
1,187,0.28
1,188,0.764583333333333
1,189,0.57
1,190,0.670952380952381
1,191,0.6775
1,192,0.444285714285714
1,193,0.627272727272727
