"PA","ID","AHM","bFFP","CMD","DD_0","DD_18","DD18","DD5","eFFP","EMT","Eref","EXT","FFP","MAP","MAR","MAT","MCMT","MSP","MWMT","NFFD","PAS","PPT_sm","PPT_wt","RH","SHM","Tave_sm","Tave_wt","TD","elev","slope","aspect.cos","aspect.sin","hli","awc_mean_0_5","bd_mean_0_5","clay_mean_0_5","om_mean_0_5","ph_mean_0_5","sand_mean_0_5","silt_mean_0_5","wind","srad"
1,1,41.521785736084,130,528.218872070312,478.218139648438,3763.65356445312,432.782043457031,2479.56469726562,272,-35.5999984741211,949.782043457031,41.9000015258789,142,452.782135009766,13.6000852584839,8.80000019073486,-3.79999995231628,294.999816894531,23.7000007629395,182.00065612793,31,178.999816894531,31.7818450927734,51,80.2999954223633,21.7000198364258,-3.40000009536743,27.5,1044.25122070312,0.0484941154718399,0.998882591724396,0.0472607053816319,0.692970991134644,0.182541579008102,1.36563098430634,15.2709379196167,1.84336829185486,7.1895112991333,38.5474319458008,43.2542953491211,4.47499990463257,14920.7021484375
1,2,41.4761772155762,130,529.75,478.650451660156,3760.0927734375,436.711822509766,2486.9443359375,272,-35.6325225830078,951.951416015625,41.9975700378418,142,453.888671875,13.6496324539185,8.80000019073486,-3.79999995231628,295.067138671875,23.7325229644775,182.171096801758,31,179.392364501953,32,50.6747665405273,80.3737487792969,21.7717590332031,-3.40000009536743,27.5325241088867,1011.25,0.0752359256148338,-0.33314323425293,0.942876219749451,0.705719113349915,0.181858316063881,1.36303162574768,15.3717908859253,1.79221391677856,7.2130274772644,38.0897903442383,43.6670875549316,4.46827077865601,14918.794921875
1,3,41.4963417053223,130,528.3310546875,478.112365722656,3762.51196289062,433.622039794922,2481.16625976562,272,-35.6056175231934,950.337097167969,41.9168548583984,142,453.148956298828,13.6090755462646,8.80000019073486,-3.79999995231628,295.002014160156,23.7056198120117,182.034576416016,31,179.058197021484,32,50.9438171386719,80.3132019042969,21.7114391326904,-3.40000009536743,27.5056190490723,1015.50115966797,0.05908427760005,0.280996859073639,0.959708690643311,0.677927672863007,0.180577471852303,1.37002801895142,15.9370241165161,1.7527801990509,7.19051694869995,38.6500396728516,42.4566307067871,4.47252082824707,14920.365234375
1,4,41.4846725463867,130,528.551696777344,478.199829101562,3762.03149414062,434.130828857422,2482.19921875,272,-35.6099891662598,950.599426269531,41.9299736022949,142,453.353118896484,13.6237297058105,8.80000019073486,-3.79999995231628,295.015899658203,23.7099914550781,182.13737487793,31,179.115814208984,32,50.900089263916,80.3146438598633,21.7215728759766,-3.40000009536743,27.5099906921387,1021.50177001953,0.0608100108802319,0.980384528636932,-0.197094276547432,0.700081408023834,0.181172654032707,1.36475813388824,15.2949047088623,1.76277601718903,7.22859621047974,39.3226699829102,42.5725898742676,4.47143745422363,14918.4033203125
1,5,41.5544013977051,130,529.652893066406,478.139526367188,3762.68798828125,433.238800048828,2480.82983398438,272,-35.5999984741211,950.238830566406,41.9000015258789,142,452.455993652344,13.673056602478,8.80000019073486,-3.79999995231628,294.621643066406,23.7000007629395,182.35221862793,31,178.621658325195,31.8604679107666,51,80.3782806396484,21.7378349304199,-3.40000009536743,27.5,1047.50036621094,0.153508186340332,0.0416520275175571,0.99913215637207,0.64696854352951,0.183582425117493,1.35986685752869,15.5229740142822,1.81173753738403,7.20844078063965,37.2962379455566,44.2810745239258,4.48556232452393,14924.6552734375
1,6,41.4602851867676,130,529.590698242188,478.653472900391,3759.86572265625,436.840698242188,2487.3017578125,272,-35.6326751708984,951.96044921875,41.9980239868164,142,454.050628662109,13.6600637435913,8.80000019073486,-3.79999995231628,295.123260498047,23.7326755523682,182.273895263672,31,179.449996948242,32,50.6732559204102,80.3583068847656,21.7776737213135,-3.40000009536743,27.5326747894287,997.249389648438,0.0787494033575058,-0.240591689944267,0.970626413822174,0.698807954788208,0.183470278978348,1.35147941112518,16.8804721832275,2.06465220451355,7.23546361923218,34.7446899414062,45.3185806274414,4.46754169464111,14918.111328125
1,7,41.4602851867676,130,529.590698242188,478.653472900391,3759.86572265625,436.840698242188,2487.3017578125,272,-35.6326751708984,951.96044921875,41.9980239868164,142,454.050628662109,13.6600637435913,8.80000019073486,-3.79999995231628,295.123260498047,23.7326755523682,182.273895263672,31,179.449996948242,32,50.6732559204102,80.3583068847656,21.7776737213135,-3.40000009536743,27.5326747894287,997.249389648438,0.0787494033575058,-0.240591689944267,0.970626413822174,0.698807954788208,0.183470278978348,1.35147941112518,16.8804721832275,2.06465220451355,7.23546361923218,34.7446899414062,45.3185806274414,4.46754169464111,14918.111328125
1,8,41.5512924194336,130,529.510681152344,477.489074707031,3760.97802734375,433.707824707031,2481.91357421875,272,-35.5694732666016,950.097290039062,41.9000015258789,142.305252075195,452.792327880859,13.7305250167847,8.80000019073486,-3.79999995231628,294.597442626953,23.7000007629395,182.597442626953,31,178.597442626953,32,51,80.3610229492188,21.740255355835,-3.40000009536743,27.5,1047.49914550781,0.0747180432081223,-0.380875140428543,0.924626469612122,0.709041178226471,0.183001101016998,1.35862028598785,15.5494537353516,1.81021547317505,7.2144513130188,37.1575088500977,44.4502830505371,4.49931240081787,14918.2353515625
1,9,41.4602851867676,130,529.590698242188,478.653472900391,3759.86572265625,436.840698242188,2487.3017578125,272,-35.6326751708984,951.96044921875,41.9980239868164,142,454.050628662109,13.6600637435913,8.80000019073486,-3.79999995231628,295.123260498047,23.7326755523682,182.273895263672,31,179.449996948242,32,50.6732559204102,80.3583068847656,21.7776737213135,-3.40000009536743,27.5326747894287,997.249389648438,0.0787494033575058,-0.240591689944267,0.970626413822174,0.698807954788208,0.183470278978348,1.35147941112518,16.8804721832275,2.06465220451355,7.23546361923218,34.7446899414062,45.3185806274414,4.46754169464111,14918.111328125
1,10,41.5082092285156,130,528.796630859375,477.566589355469,3761.13305664062,433.576629638672,2481.68627929688,272,-35.5676116943359,949.928833007812,41.9000015258789,142.323883056641,453.241790771484,13.7323875427246,8.80000019073486,-3.79999995231628,294.747253417969,23.7000007629395,182.747253417969,31,178.747253417969,32,51,80.3010940551758,21.7252750396729,-3.40000009536743,27.5,1038.751953125,0.0666354149580002,0.451996445655823,0.892019748687744,0.665427625179291,0.182392150163651,1.35984134674072,15.2065010070801,1.8117550611496,7.20774030685425,38.6612319946289,43.2418251037598,4.49756240844727,14917.669921875
