%IncMSE,IncNodePurity
srad,56.0293355286321,92.8517009310671
om_mean_0_5,48.5827764836358,125.737911087454
wind,41.7284163264285,74.1698755408565
bd_mean_0_5,41.2636272624831,104.864357197197
hli,39.0507367840132,35.7584088552481
MCMT,38.8553480393172,213.508704724939
MSP,37.7130866594695,115.1303549778
clay_mean_0_5,36.6093456596201,39.9762670252989
silt_mean_0_5,33.6463894013319,29.5167952539756
EMT,33.2289200829784,26.4472308622243
bFFP,32.7008726840718,33.1194962714495
PPT_wt,32.6395736500011,22.1623884906945
ph_mean_0_5,28.5868720650223,27.3719037788121
NFFD,27.8283171623562,19.0176714853294
Eref,24.8867894754061,97.5139944379193
PPT_sm,24.732629549062,52.8345445870709
MAP,24.3987190093132,25.2958346031126
MAR,23.8272032351345,22.3094138025405
awc_mean_0_5,22.8223303852955,30.8175232515871
sand_mean_0_5,21.5593793848476,20.2952918172433
eFFP,20.9680226891511,14.3081847346728
AHM,20.8638202940465,11.8294933284774
DD_18,20.7480876552806,15.9476656979635
RH,20.6909320322511,11.1728097063226
EXT,19.7226022386581,12.4088513719535
PAS,19.6617754384534,18.9345047455004
CMD,19.6441481483424,14.7314862174481
DD5,19.5693933517557,58.2748235964567
MAT,19.4603400396124,14.1790881955436
TD,18.5608977312485,77.5109210465826
Tave_sm,17.3374748490604,67.0985389145878
FFP,16.5471248596204,15.0369137367803
DD18,16.1982928724104,42.7862798612922
Tave_wt,15.8803739346221,61.5105532125185
SHM,15.2243820670956,13.1139734400376
DD_0,14.9417298902705,22.4592169070052
MWMT,13.3481863509199,20.3078972567736
